"","it1","it2","it3","it4","it5","it6","it7","it8","it9","it10","it11","it12","it13","it14","it15","it16","it17","it18","it19","it20","it21","it22","it23","it24","it25","it26","it27","it28","it29","it30"
"1TP",9,8,7,8,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,7,7,7,7,7,7
"2TP",11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9
"3TP",8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
"4TP",9,8,8,8,8,8,8,7,7,7,8,7,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
"5TP",9,9,8,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5
"1TN",168,172,175,175,177,177,181,181,181,179,181,181,180,179,181,182,182,182,183,183,183,184,183,184,183,183,184,183,184,185
"2TN",158,159,160,160,163,164,165,166,165,167,167,167,168,169,169,170,171,171,173,176,175,175,177,178,178,179,178,179,178,180
"3TN",148,146,152,154,155,156,157,155,158,158,158,160,161,161,170,172,173,173,173,173,173,173,173,173,173,172,173,173,173,173
"4TN",163,165,167,171,172,175,176,176,178,177,179,180,180,183,183,183,185,185,185,186,189,188,189,189,189,190,190,190,190,191
"5TN",157,156,161,167,167,167,169,169,170,169,169,169,169,169,172,169,170,172,172,172,172,171,172,172,172,172,175,175,176,177
"1FP",36,32,29,29,27,27,23,23,23,25,23,23,24,25,23,22,22,22,21,21,21,20,21,20,21,21,20,21,20,19
"2FP",52,51,50,50,47,46,45,44,45,43,43,43,42,41,41,40,39,39,37,34,35,35,33,32,32,31,32,31,32,30
"3FP",55,57,51,49,48,47,46,48,45,45,45,43,42,42,33,31,30,30,30,30,30,30,30,30,30,31,30,30,30,30
"4FP",43,41,39,35,34,31,30,30,28,29,27,26,26,23,23,23,21,21,21,20,17,18,17,17,17,16,16,16,16,15
"5FP",45,46,41,35,35,35,33,33,32,33,33,33,33,33,30,33,32,30,30,30,30,31,30,30,30,30,27,27,26,25
"1FN",22,23,24,23,22,22,24,24,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,24,24,24,24,24,24,24
"2FN",14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16
"3FN",25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27
"4FN",20,21,21,21,21,21,21,22,22,22,21,22,23,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26
"5FN",24,24,25,26,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,28,28,28,28
